gen,best,mean,std,spread,clear_rate,best_time,best_damage,best_acc,mean_acc,mean_peek_flips,mean_peek_hold,mean_cover_time,mean_aim_x_std,mean_aim_y_std,mean_aim_span_x,mean_aim_span_y,mean_aim_dx,mean_hit_delta,mean_shot_left_frac,mean_shot_mid_frac,mean_shot_right_frac,sigma_used
0,-8.51604198519626,-162.401174406304,75.2127270516155,277.640265405996,0,2046,1,0.0512820512820513,0.0121540496540497,9.93333333333333,11.8,14.8666666666667,0.121589758555846,0.128958065667491,0.428977831348459,0.441547486949302,0.0757679914951811,163.258904980993,0.603789722531141,0.320231017725297,0.0759792597435618,0.1
1,1699.47248155603,-94.4022110077949,340.428272648681,1980.6971154395,0.0333333333333333,-284,0,0.277777777777778,0.0236227626503621,10.3333333333333,12.1333333333333,15.4333333333333,0.138818939417838,0.116152864895056,0.482100884223311,0.416902920848235,0.0825964637908216,150.948376704458,0.531544201429785,0.327514763006893,0.140941035563322,0.1
2,12.4408550885962,-95.2201229489648,49.1063477746808,213.038469277348,0,2044,1,0.05,0.0321874843216307,9.33333333333333,10.6,14,0.177366512047527,0.139811114392021,0.617869113464588,0.513786528482901,0.104581255621193,121.481470880595,0.321011491663666,0.482839954610898,0.196148553725436,0.1
3,201.934778121775,-92.328028883378,92.1956451256683,416.482108891534,0,952,3,0.117647058823529,0.0276511223570047,9.5,11.2,14.2,0.160786371561563,0.126984275929592,0.56323928844052,0.485352420226281,0.093772023908731,142.412872798052,0.358656274103845,0.406199623290416,0.235144102605739,0.1
4,33.6270934609924,-83.123963284508,58.9298067043367,283.22210713104,0,2044,2,0.0540540540540541,0.0310991688411043,10.4,12.0666666666667,15.6,0.152556431659822,0.145368821628566,0.549459896381867,0.54541899811755,0.0921966203155049,142.205155189931,0.303829973624024,0.415639194283913,0.280530832092063,0.1
5,2033.05425685426,27.6400175711226,497.6564483178,2257.69339608007,0.0666666666666667,-690,0,0.272727272727273,0.0367288312101762,9.73333333333333,11.4,14.6333333333333,0.150629364111201,0.145471750942056,0.538717532764779,0.523819992177237,0.0964000732978482,134.690843234214,0.31151915416199,0.433040376415568,0.255440469422442,0.1
6,107.361559014508,-90.9319884904602,83.3105752577468,357.365157581166,0,2046,2,0.105263157894737,0.0366640674021932,10.8,12.0666666666667,16.1333333333333,0.155341706283906,0.137474845611939,0.565762261037995,0.488544881543658,0.088040476394763,137.270713068762,0.433514771136722,0.345085150813788,0.221400078049489,0.1
7,115.925363288114,-44.299207463363,56.3909369041101,260.173888130026,0,2044,2,0.0833333333333333,0.0461156999962407,10.2666666666667,11.5333333333333,15.4,0.159070434192697,0.149501704841192,0.586302035477476,0.585903490523083,0.0914185358930038,122.014971993718,0.338155425440061,0.432453160966412,0.229391413593527,0.1
8,138.248585826117,-38.2988895781944,64.3862887886927,346.763627251902,0,2046,2,0.0810810810810811,0.0436606701526056,10.2666666666667,11.7333333333333,15.4,0.162991585757365,0.140574144889072,0.593624468616037,0.538735948559764,0.0941940932389953,125.414954906832,0.325966952997107,0.408673736696177,0.265359310306716,0.1
9,2053.39711399711,84.133093597612,499.885508349753,2215.14549767553,0.0666666666666667,-690,0,0.272727272727273,0.05389437016372,11.0666666666667,12.6666666666667,16.6,0.189449518499623,0.155315541192521,0.659807985073441,0.57290246404146,0.11468296711914,134.92387173428,0.401371586015549,0.358408817478892,0.240219596505559,0.1
10,129.230076597279,-48.3539237019616,89.6841198440105,412.476389222466,0,1230,3,0.166666666666667,0.0471116094286826,11.0666666666667,12.4,16.6333333333333,0.171499383187402,0.12813633305066,0.601228735501134,0.509456626787452,0.103518128879699,135.314892588242,0.392700804413424,0.463438327566111,0.143860868020465,0.1
11,111.92186477534,-60.8170195741832,69.2418171144288,301.905280613315,0,2044,1,0.0769230769230769,0.0298735406494027,11.5666666666667,13.4,17.3333333333333,0.16718174814386,0.170484335564639,0.565837014524506,0.646988920026912,0.090888970072739,145.647779221598,0.409138980776912,0.306649834753283,0.284211184469805,0.1
12,110.518413166258,-42.5640567007213,85.5633203319418,380.848494467071,0,1764,3,0.111111111111111,0.0375181225181225,10.9666666666667,12.6666666666667,18.8,0.177101580847945,0.175490811073075,0.64497787057374,0.657728453509001,0.0997278232247593,142.674061872901,0.316855234355234,0.496845581845582,0.186299183799184,0.1
13,1873.10668340647,35.019419045863,350.278254487188,2036.17861011231,0.0333333333333333,-442,0,0.2,0.0484299207469939,10.3333333333333,11.7333333333333,15.5,0.184686268078824,0.152546765110437,0.629598136347997,0.603636800653285,0.104950228916017,124.876520848536,0.476684803421283,0.350470175255435,0.172845021323282,0.1
14,116.015902175966,-47.0519151230686,78.6526187302849,401.345983476779,0,1374,3,0.166666666666667,0.0324498309112786,10.1333333333333,11.7333333333333,17.5666666666667,0.20172535612473,0.148271684643266,0.699844081639232,0.571425528824236,0.102980212177414,140.612535543426,0.323945878903991,0.38382602013242,0.292228100963588,0.1
15,113.608416246063,-16.022925925959,69.6311224022875,283.361110019835,0,2046,1,0.0833333333333333,0.0439050689050689,11.1333333333333,12.6666666666667,16.6666666666667,0.166979954503952,0.169575273015467,0.604684799599504,0.633383753910686,0.0992750394155885,125.054403715055,0.356016296016296,0.427358612793395,0.216625091190309,0.1
16,130.179918853705,-49.0107167224245,92.7975652841454,368.91587544551,0,2044,1,0.102564102564103,0.0372128997128997,10.9666666666667,12.6666666666667,16.3666666666667,0.186215136553197,0.16399354088413,0.647290555404476,0.641008169132067,0.098270587623017,134.648148946825,0.347574178335048,0.388068138611617,0.264357683053335,0.1
17,1750.39136518545,71.4358168279444,318.474102342407,1869.19359375557,0.0333333333333333,-282,0,0.222222222222222,0.0605860498640319,10.7,12.2,16.0333333333333,0.184832712183578,0.170299926478647,0.652332225470013,0.671168215643094,0.093972235762157,100.284746945055,0.418464901407453,0.372374341131384,0.209160757461163,0.1
18,1673.57537961687,63.3793147030645,311.099727693833,1832.57309424893,0.0333333333333333,-300,0,0.166666666666667,0.0484895386936088,11.1333333333333,12.5333333333333,16.7333333333333,0.193306572733803,0.163229323029254,0.721039885967766,0.63608881267226,0.0996291409895743,120.999274901868,0.293754776884544,0.398014287983993,0.308230935131464,0.1
19,1800.64182041167,117.29672743952,405.702031371386,2004.15569887153,0.0666666666666667,-352,0,0.166666666666667,0.0560517944204385,10.6333333333333,11.9333333333333,15.9,0.177156891925306,0.190023648163275,0.647267007998597,0.698393753826202,0.0859699122464934,119.46575801464,0.345085087038385,0.412616541868108,0.242298371093507,0.1
20,94.9592885124729,-14.4624524442926,70.2940924877489,294.687612428881,0,2046,0,0.0476190476190476,0.0350744292506306,10.8666666666667,12.5333333333333,17.0333333333333,0.205299383232169,0.168678539320675,0.732100789692898,0.633273905240911,0.104725577567052,125.009413650418,0.277665923146472,0.302434271976606,0.419899804876922,0.1
21,2520.22222222222,175.596212028346,590.020350255202,2671.35689612229,0.0666666666666667,-918,0,0.5,0.0676075753652915,11.0333333333333,12.4666666666667,16.5666666666667,0.188151529954847,0.174092474179403,0.69232133797064,0.655826303106803,0.100812481072826,110.40286608895,0.34609706915771,0.342936592274512,0.310966338567779,0.1
22,1752.30766252742,108.633356953015,425.375939373579,1907.05133219474,0.0666666666666667,-364,0,0.166666666666667,0.0517765567765568,10.9,12.3333333333333,16.3333333333333,0.18812286441244,0.167623658259402,0.691560132432227,0.659678450543097,0.104827317636965,123.546948146656,0.416792231792232,0.328609395348526,0.254598372859242,0.1
23,1671.75758835988,66.9305222443411,303.776047499058,1811.05272525355,0.0333333333333333,-330,0,0.166666666666667,0.0511778097448829,10.9666666666667,12.3333333333333,16.4333333333333,0.199468330756311,0.167293464041977,0.726884946673088,0.65873349265899,0.0986376591120114,111.401470372019,0.417467771309235,0.374626113315138,0.207906115375628,0.1
24,1745.72905720055,56.1888180111549,326.318529450728,1943.01815790579,0.0333333333333333,-306,0,0.222222222222222,0.0462809424709653,12.3,13.8666666666667,18.4333333333333,0.190640912980182,0.18255616798029,0.691894718703717,0.685568262544711,0.0986386290548696,123.15776105303,0.416475885201494,0.282814169729292,0.300709945069214,0.1
25,2180.28499419351,77.8416711186649,396.077479426209,2379.36507549433,0.0333333333333333,-658,0,0.25,0.0514952192845931,11.0666666666667,12.4666666666667,16.5333333333333,0.207985638330907,0.183724769814625,0.749593992401231,0.686465563436264,0.110291440645708,121.393860825043,0.328097973187487,0.381982462471284,0.289919564341229,0.1
26,127.767400889137,3.79024904288477,84.3109705472515,298.282550233613,0,2044,2,0.105263157894737,0.0402648264752529,12.7,14.4,19.1,0.211690240233391,0.177187120801242,0.772221652779588,0.689123571938662,0.121453757185717,123.245783991938,0.44590583625688,0.318605609969663,0.235488553773457,0.1
