gen,best,mean,std,spread,clear_rate,best_time,best_damage,best_acc,mean_acc,mean_peek_flips,mean_peek_hold,mean_cover_time,mean_aim_x_std,mean_aim_y_std,mean_aim_span_x,mean_aim_span_y,mean_aim_dx,mean_hit_delta,mean_shot_left_frac,mean_shot_mid_frac,mean_shot_right_frac,sigma_used
10,2445.92444444444,391.869539208523,655.208137408371,2674.58476190476,0.133333333333333,-844,0,0.5,0.125901352965862,6.3,7.95555555555556,9.53333333333333,0.132762880727449,0.142743475396003,0.642100234982365,0.660572034194871,0.153082863361065,119.122776242679,0.113926881472067,0.772252988763817,0.113820129764116,0.1
11,2149.2024691358,225.576641425054,372.247646348257,2376.52913580247,0.0333333333333333,-536,0,0.25,0.104453458615676,6.58888888888889,8.28888888888889,9.86666666666667,0.13195235236473,0.143575552724829,0.636439644673901,0.669682308482319,0.149613425731358,108.481067479785,0.101286554098387,0.783884670405755,0.114828775495858,0.1
12,2596.29523809524,468.594373789393,684.887927146899,2675.58792102207,0.2,-868,0,0.666666666666667,0.138184904628114,5.74444444444444,7.13333333333333,8.64444444444444,0.131250601119933,0.143098028043885,0.620689957435748,0.644694130090982,0.148923092387915,104.926253923563,0.100394948396981,0.796159609188304,0.103445442414715,0.1
13,2567.54509803922,517.615002377232,744.431894007775,2787.53590263692,0.2,-794,0,0.666666666666667,0.140830564746607,6.08888888888889,7.55555555555556,9.14444444444445,0.135779000982927,0.146604327151609,0.650576527841076,0.654809026041683,0.156380996125071,93.4945108606853,0.112626988774292,0.773128486131137,0.114244525094572,0.1
14,1759.03174603175,254.634892181035,393.146590175618,1717.66137566138,0.0666666666666667,-164,0,0.25,0.107175910273086,6.13333333333333,7.93333333333333,9.2,0.137546321234191,0.148236684802292,0.668280757883775,0.708679765147787,0.15872623927071,103.268277814042,0.115376107235902,0.761526944131433,0.123096948632665,0.1
15,2037.15396825397,366.702557810233,547.550848258563,1987.89160266257,0.133333333333333,-618,0,0.333333333333333,0.119294896616788,6.35555555555556,7.95555555555556,9.6,0.13576336774054,0.14611998292924,0.645989825506333,0.676656953681017,0.157902009773869,110.323871641098,0.120596389104017,0.759235492210702,0.120168118685281,0.1
16,2287.92457142857,256.666568197816,501.549098701228,2523.91450853549,0.0666666666666667,-594,0,0.571428571428571,0.11652675013914,5.81111111111111,7.33333333333333,8.82222222222222,0.137651470169629,0.144460187562639,0.661410159044875,0.666978942822945,0.159405435709671,104.191370097674,0.120992741545936,0.768066794285907,0.110940464168157,0.1
17,2530.26907407407,429.277692925407,647.002439216791,2567.587068567,0.166666666666667,-700.666666666667,0,0.666666666666667,0.13475369357154,6.17777777777778,7.91111111111111,9.35555555555555,0.137408409843791,0.144037536933551,0.663837570709767,0.675690057153439,0.161535441205883,99.1732915797702,0.127003342573249,0.739271474862481,0.13372518256427,0.1
18,2152.42469135802,312.222202225001,538.088301303754,2382.4125701459,0.1,-538,0,0.25,0.108281213224241,6.4,8,9.7,0.137253336134158,0.147702295759748,0.66559509515316,0.688771932686258,0.160054114374959,113.806941668344,0.109473680777726,0.768338029594199,0.122188289628075,0.1
19,2661.97948717949,666.849940142007,815.980882777351,2568.28457229665,0.277777777777778,-888,0,0.666666666666667,0.177157222858442,5.56666666666667,6.84444444444444,8.6,0.136438154392314,0.141815042039813,0.625364994224345,0.647578046360616,0.159044553596741,91.2929472561325,0.112725985622327,0.772145987481353,0.11512802689632,0.1
20,2580.84761904762,230.092777160977,446.471342132595,2804.82476190476,0.0333333333333333,-850,0,0.6,0.113241255566198,6.3,7.93333333333333,9.5,0.139759363610683,0.144588339469807,0.66911265284457,0.691125234047051,0.164645785434692,117.346659962742,0.117354791492091,0.76032490532605,0.122320303181859,0.1
21,2514.68888888889,390.094724537802,577.896588579315,2619.74534534535,0.133333333333333,-912,0,0.5,0.123965187622857,6.6,8.31111111111111,9.92222222222222,0.142120858459709,0.146093241930124,0.673873304574359,0.680257658968954,0.162154100894575,98.8986636230248,0.119154009534685,0.738925791259938,0.141920199205377,0.1
22,2391.31777777778,354.177721350647,555.443560331127,2437.73078341014,0.111111111111111,-842,0,0.5,0.128623710766507,6.76666666666667,8.13333333333333,10.2,0.14105725607591,0.147245564055415,0.659139368641745,0.704969293227112,0.165138872091177,105.612200536271,0.134386484539937,0.731623542936203,0.13398997252386,0.1
23,2114.31664538101,416.800905798945,613.364234169419,2071.43122803904,0.155555555555556,-521.333333333333,0,0.25,0.119489930484427,6.92222222222222,8.42222222222222,10.4666666666667,0.142859355301412,0.147830705546787,0.674449505843047,0.692136975624226,0.165986607632487,113.623173747692,0.150181669027679,0.704930456184518,0.144887874787803,0.1
24,2055.25806451613,454.832619314653,621.222257876235,2106.30504864311,0.2,-438,0,0.25,0.121919473957561,6.32222222222222,7.88888888888889,9.56666666666667,0.143405243715934,0.147100320050436,0.666460223542989,0.684687023040745,0.168287158732299,104.610151717815,0.121744291736603,0.724799691193367,0.153456017070031,0.1
25,2526.15555555556,734.322508042467,880.555654223291,2763.63737373737,0.333333333333333,-914,0,0.6,0.156309512290225,5.31111111111111,6.82222222222222,8.03333333333333,0.139470879496575,0.148418757359637,0.617830725345616,0.685543792908235,0.166560801776508,93.3115371493101,0.135463522736403,0.718317266215555,0.146219211048042,0.1
26,2316.82567287785,457.012750248788,679.71141205616,2436.728826031,0.166666666666667,-622,0,0.571428571428571,0.138536161136242,6.73333333333333,8.28888888888889,10.1666666666667,0.142532208659546,0.146591736427127,0.656527688820808,0.69981276591194,0.169647687465235,101.211846751014,0.135451921452523,0.698429388104045,0.166118690443431,0.1
27,1654.07408637874,335.897810547644,461.714093070851,1677.91758273223,0.133333333333333,-130,0,0.214285714285714,0.110832110284803,6.66666666666667,8.37777777777778,10.0666666666667,0.143967870022358,0.148358977400154,0.671262871353248,0.711496245624128,0.171316002490749,99.5965423455215,0.119693885958107,0.730149547075746,0.150156566966147,0.1
28,2214.01991341991,496.838294705059,704.245815491103,2332.24819180819,0.2,-668,0,0.428571428571429,0.139670145488986,6.12222222222222,7.6,9.2,0.143205416734361,0.150711428273975,0.655588320337824,0.70292918210204,0.170209452107687,92.5704049189623,0.111641492721203,0.722495254437284,0.165863252841514,0.1
29,2460.71666666667,425.13208352346,683.034348747548,2584.45992123345,0.133333333333333,-814,0,0.5,0.13479999405715,7.25555555555556,8.73333333333333,11.0333333333333,0.14447073856854,0.148348631509065,0.684783605839852,0.688945555276369,0.168584377157052,100.464514953069,0.122945660886218,0.717331703142189,0.159722635971594,0.1
30,1650.55825879547,201.106907376898,282.374228673776,1868.5274895647,0.0333333333333333,-126,0,0.2,0.0903394163466578,7.85555555555556,9.55555555555555,11.8666666666667,0.142132057847844,0.149796365081245,0.681380787713233,0.729691521998467,0.169896266202593,113.203252731638,0.132217890251031,0.727481602971481,0.140300506777489,0.1
31,2459.98333333333,494.125521576754,686.474279431946,2556.59273504273,0.2,-814,0,0.5,0.148214607961748,6.81111111111111,8.26666666666667,10.3666666666667,0.143104314538408,0.149127856963495,0.645906346009325,0.698575726902395,0.17070367361786,100.05685914225,0.137858565834538,0.714924381668279,0.147217052497182,0.1
