gen,best,mean,std,spread,clear_rate,best_time,best_damage,best_acc,mean_acc,mean_peek_flips,mean_peek_hold,mean_cover_time,mean_aim_x_std,mean_aim_y_std,mean_aim_span_x,mean_aim_span_y,mean_aim_dx,mean_hit_delta,mean_shot_left_frac,mean_shot_mid_frac,mean_shot_right_frac,sigma_used,theta_fitness,theta_clear,theta_time,theta_damage,theta_acc
24,2252.7454545454543,270.87315258896234,444.1738685619742,2476.055258467023,0.06666666666666667,-652.0,0.0,0.5,0.13206074231161455,5.766666666666667,7.4,8.666666666666666,0.14534125955413907,0.1488570388632974,0.6937977329211347,0.7062065290348383,0.17080376953456042,96.04890479886758,0.14915774002231982,0.7443954630627255,0.10644679691495461,0.1,214.67350427350425,False,1682.0,3.0,0.13333333333333333
25,2710.2190476190476,320.2603715381369,580.342880258209,2828.490158730159,0.1,-858.0,0.0,0.75,0.16091909277512995,5.133333333333334,6.8,7.7,0.1442711059220871,0.14700432373701586,0.668381031990233,0.6808740264908629,0.16837534501624726,90.75259375898972,0.15169736226392574,0.7089578502852499,0.1393447874508246,0.1,265.3291005291006,False,1624.0,3.0,0.14285714285714285
26,2001.2603174603173,191.89809270413636,355.63338609256004,2225.2603174603173,0.03333333333333333,-504.0,0.0,0.42857142857142855,0.10556091377500719,5.8,7.333333333333333,8.7,0.1458710523129696,0.15082571581380877,0.7229567477740665,0.7074819898092055,0.17231557085448299,108.83844282048689,0.14242901500069358,0.7541805488524428,0.10339043614686366,0.1,184.60765401994752,False,2046.0,2.0,0.10526315789473684
27,1938.6644688644687,240.7857148009906,468.38348396884754,2167.305738705739,0.06666666666666667,-546.0,0.0,0.3333333333333333,0.11687871276446571,5.233333333333333,6.866666666666666,7.933333333333334,0.1475855061951905,0.1485894036245828,0.6778768882084342,0.6883244880779193,0.17257945835862296,92.24367799695135,0.14564387025161668,0.7190835205468447,0.1352726092015387,0.1,193.98805985552116,False,2048.0,2.0,0.10526315789473684
28,2298.3933333333334,243.70414429313846,399.96799052034834,2527.726666666667,0.03333333333333333,-706.0,0.0,0.5,0.12925689029488446,5.9,7.466666666666667,8.866666666666667,0.14675214643480927,0.15009986374962683,0.697126913379074,0.7194694970054323,0.17374076408520614,97.19818399328057,0.1283312820501726,0.6904623884325022,0.18120632951732535,0.1,265.33333333333337,False,1616.0,3.0,0.14285714285714285
29,1974.5047619047618,308.6131697134959,539.724853292392,2110.515670995671,0.1,-674.0,1.0,0.5,0.1369212135118549,6.033333333333333,7.733333333333333,9.033333333333333,0.1509945542110444,0.1536285158126624,0.7152717279449411,0.7374174920545208,0.17773080909049618,98.50561997846506,0.16973327354435178,0.6814135683740441,0.148853158081604,0.1,254.1928181108509,False,1938.0,3.0,0.13333333333333333
30,2566.173333333333,397.054236110145,638.7782945628165,2798.1506382978723,0.13333333333333333,-834.0,0.0,0.6,0.15532344735541664,6.066666666666666,7.8,9.1,0.15502962229912526,0.15253418000881086,0.7314106699733268,0.7198542790232655,0.18230482028727116,105.50979396177591,0.1257316095490648,0.7213309372289551,0.15293745322198005,0.1,177.6909600933049,False,2044.0,2.0,0.10526315789473684
31,2548.4564102564104,433.75687793878234,671.9872136981522,2616.7137745974956,0.13333333333333333,-876.0,0.0,0.6,0.17242670016792822,5.433333333333334,6.933333333333334,8.133333333333333,0.15082484343153357,0.1466453793760167,0.6916272259002844,0.6903063614343993,0.17690682856043471,84.63965338774368,0.14651214526214526,0.7315335687704108,0.12195428596744387,0.1,239.96632996632997,False,1362.0,3.0,0.125
32,2150.3230769230768,365.3974624349153,580.876203702224,2066.485877856947,0.1,-550.0,0.0,0.5,0.14600358908536537,6.266666666666667,7.866666666666666,9.4,0.15314397546682992,0.1505114846889642,0.7145868644658255,0.690352199378338,0.18061622319667828,95.60579488236085,0.129610968155393,0.7244314568633606,0.14595757498124637,0.1,188.02630511521414,False,2046.0,0.0,0.0967741935483871
33,2515.2980392156865,423.10618344567024,678.7758343064012,2741.2980392156865,0.16666666666666666,-784.0,0.0,0.6,0.1651627854936678,5.633333333333334,7.066666666666666,8.466666666666667,0.15331934197494843,0.15059880179872182,0.7044741622426345,0.7120296676952922,0.17756667291043812,87.94903406150432,0.11584975445269562,0.707161347749583,0.17698889779772128,0.1,314.0693429329882,False,1876.0,3.0,0.1935483870967742
34,2005.5939393939395,272.4484619463193,446.3960347659917,2076.146398410333,0.06666666666666667,-626.0,0.0,0.2727272727272727,0.140959781318376,4.833333333333333,6.4,7.3,0.1530004426734872,0.15184307100599076,0.6900286951231478,0.6895072133497933,0.18059691749892332,95.36746909074789,0.1735304517912204,0.6898456989670815,0.13662384924169818,0.1,265.78595641646496,False,1510.0,3.0,0.14285714285714285
35,1863.2975369458127,314.53236237520457,464.25881717520053,2077.951505199781,0.1,-474.0,0.0,0.3333333333333333,0.13979257017203908,6.066666666666666,7.666666666666667,9.1,0.15284535432429294,0.1516866629137398,0.7402716634540317,0.748096458252737,0.1806979861751898,86.68592669898185,0.175424422159849,0.7022989107033838,0.12227666713676728,0.1,170.46953046596664,False,2048.0,2.0,0.09375
36,2694.5030303030303,370.61496884226193,610.7541728610398,2804.092606060606,0.13333333333333333,-932.0,0.0,0.75,0.16926002308360627,5.5,7.066666666666666,8.266666666666667,0.15507879545961561,0.1597469836075037,0.7250125096446158,0.7688297923780325,0.18483676475382732,101.66723384503527,0.15186417110309153,0.6832701168173329,0.16486571207957543,0.1,205.03472652218784,False,2046.0,2.0,0.10526315789473684
37,2899.7846153846153,395.8986781668363,681.838117287767,3119.117948717949,0.13333333333333333,-882.0,0.0,1.0,0.15517198575658667,5.966666666666667,7.4,8.966666666666667,0.15813294814923334,0.15614046892680059,0.7108333016314148,0.7237122909598771,0.19097270579404388,94.4516278321421,0.1628843372103905,0.6755109381294602,0.16160472466014933,0.1,205.37544382176588,False,2044.0,2.0,0.10526315789473684
38,2654.653333333333,444.3493510556946,695.7345306488795,2565.685891472868,0.13333333333333333,-942.0,1.0,1.0,0.17696347099830992,5.666666666666667,7.333333333333333,8.533333333333333,0.15822664312957344,0.15665983856893997,0.7301690969732635,0.7297847559287965,0.18678759953772986,95.62017528465513,0.1210410334876301,0.7143933895671665,0.16456557694520357,0.1,289.88482963577303,False,1546.0,3.0,0.17857142857142858
39,1783.0823529411764,368.27775688598325,482.22114138817324,1863.2413471384684,0.13333333333333333,-342.0,0.0,0.375,0.15382655726660854,5.7,7.4,8.533333333333333,0.15704739426745712,0.15468260293909372,0.7498604832798378,0.7393677669861124,0.18877165604554652,90.57558484023478,0.1600336226286529,0.6908760842964357,0.14909029307491142,0.1,263.9723514075016,False,2044.0,2.0,0.16129032258064516
